"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","CAN","Canada","MORT_TRANSP_RA","Mortality rate due to transport accident (deaths for  100 000 population)","ALL","All regions","2001","2001",,,"0","Units",,,9.8,,
"1","Country","CAN","Canada","HOMIC","Intentional Homicides (number)","ALL","All regions","2001","2001",,,"0","Units",,,553,,
"1","Country","CAN","Canada","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2001","2001",,,"0","Units",,,1.8,,
"1","Country","CAN","Canada","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2001","2001",,,"0","Units",,,168595,,
"1","Country","CAN","Canada","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2001","2001",,,"0","Units",,,543.5,,
"1","Country","CAN","Canada","MORT_TRANSP_RA","Mortality rate due to transport accident (deaths for  100 000 population)","ALL","All regions","2002","2002",,,"0","Units",,,10.1,,
"1","Country","CAN","Canada","HOMIC","Intentional Homicides (number)","ALL","All regions","2002","2002",,,"0","Units",,,582,,
"1","Country","CAN","Canada","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2002","2002",,,"0","Units",,,1.9,,
"1","Country","CAN","Canada","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2002","2002",,,"0","Units",,,161912,,
"1","Country","CAN","Canada","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2002","2002",,,"0","Units",,,516.3,,
"1","Country","CAN","Canada","MORT_TRANSP_RA","Mortality rate due to transport accident (deaths for  100 000 population)","ALL","All regions","2003","2003",,,"0","Units",,,9.9,,
"1","Country","CAN","Canada","HOMIC","Intentional Homicides (number)","ALL","All regions","2003","2003",,,"0","Units",,,549,,
"1","Country","CAN","Canada","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2003","2003",,,"0","Units",,,1.7,,
"1","Country","CAN","Canada","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2003","2003",,,"0","Units",,,174208,,
"1","Country","CAN","Canada","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2003","2003",,,"0","Units",,,550.6,,
